1000,Sequence Control
9274,Tool radius too large (Contour Violation)
9275,$CDC_OVS_DISTANCE set to 100%
9276,Invalid auxiliary point programmed
9277,G65 not allowed after CS transformation
9278,interpolation mode not allowed for CDC deactivation with Auxiliary Point
9279,CDC activation/deactivation with auxiliary point not possible
9280,Too many blocks without move in the main plane (max. 64 allowed)
9281,No main plane specified
9282,G138 duplicate programmed points - buffer overflow (DP buffer)
9283,CDC - internal buffer overflow (KORR_BUFFER)
9300,"CDC activation with auxiliary point, no intersection point found"
9301,"CDC with auxiliary point, to less cartesian axes defined"
9600,Internal Error - Unknown pointer
9601,Internal Error - Unknown pointer (install function)
9602,Internal Error - IO pointer illegal
9610,Internal Error - Instruction modifier unknown
9611,Internal Error - Instruction acknowledgement unknown
9612,Internal Error - Invalid state of BF handler
9620,Internal Error - BF not initialized
9621,Internal Error - FKT not initialized
9630,Internal Error - No FAA allowed
9631,Internal Error - Unknown handler state
9632,Internal Error - BF not initialized
9633,Internal Error - FAA start not allowed
9634,Internal Error - FAA stop not allowed
9635,Internal Error - FAA continuation not allowed
9636,Internal Error - FAA interruption not allowed
9637,Internal Error - FAA unknown
9638,Internal Error - No instruction allowed
9639,Internal Error - Unknown handler condition
9640,Internal Error - Instruction start not allowed
9641,Internal Error - Instruction abort not allowed
9642,Internal Error - Instruction unknown
F9100,Command Number (details see AS help)
F9101,Event Number
F9101,0
F9101,1
F9103,System Error
F9110,Program Number
F9111,Position in NC Program
F9112,Byte Offset in the NC Programm
F9113,Block Number
10000,CNC Decoder
10101,Command not allowed at current module state
10102,Command not allowed - Unknown module state
10103,PKM - No compensationparameters for cartesian axis
10104,Overlapping of the M and M_S areas
10105,Incorrect Parameter
10106,Event not allowed at current module state
10107,Event not allowed - Unknown module state
10109,Error at setting up the command ID FIFO
10110,Initialization incomplete
10111,Error at setting up a module
10112,Error at installing a module
10113,Error at linking a module
10114,Unknown Parameter
10115,Unknown synchronization type
10116,Decoder input interface full
10117,NC Programm aborted
10118,Error occurred during initialization
10119,Unallowed index for R-Parameter
10120,R-Parameter not found
10121,Start index or number of blocks in tool data table is wrong
10122,Start index or number of blocks in zero point offset table is wrong
10123,Start index or number of parameters in R parameter table is wrong
10124,There are no CNC-axes
10125,Tangential axis only allowed together with at least two cartesian contour axes
10126,Command not allowed - NC program active
10127,Definition of the axes incomplete or incorrect (nc_POLAR_RAD or NC_POLAR_PHI)
10128,Order axis definition is wrong (nc_POLAR_RAD=0 and NC_POLAR_PHI=1)
10129,Unknown start mode
10130,R-parameter (single) - paramezer access blocked by interpreter
10131,R-parameter (table) - parameter access blocked by interpreter
10132,Command not active - motion packet log must be enabled first
10133,Tool with index=0 in tool data table defined
10134,"Zero Point Offset Table, offset for G53 defined"
10150,Error at module open (module doesn't exist or wrong module type)
10151,Error at module close
10152,Error at setting the file pointer (start_pos > NC-program length)
10153,Internal Error - Unknown instruction
10154,Source line too long
10155,Error at text file conversion
10156,NC-Init-Program must be converted
10200,Unknown or missing letter in the NC program
10201,"Sub program not completed with M02, M29 or M30"
10202,Control Block after G16/G17/G18/G19/G53-G59/G92/G159/Dxx not allowed
10203,Syntax Error in NC Block with G92/G192/G292
10204,Transformation effects also a scaling of the axis!
10205,No circular block allowed before $RAD
10206,Start program with block number not allowed
10210,No number specified after 'N'
10211,No number specified after 'G'
10212,Multiple use or illegal combination of NC block type
10213,Unknown G-Function
10214,No number specified after 'M'
10215,Unknown M-Function
10216,Unused M-Function
10217,No number specified after 'H'
10218,Unknown H-Function
10219,No number specified after 'T'
10220,Unknown T-Function
10221,No number specified after 'D'
10222,Unknown D-Function
10223,No number specified after 'F'
10224,No number specified after 'E'
10225,Multiple use of I-Coordinate
10226,Multiple use of J-Coordinate
10227,Multiple use of K-Coordinate
10228,No number specified for local subroutine call
10229,No number specified after 'P'
10230,No '=' after P parameter
10231,Invalid P parameter index
10232,No number specified after 'R'
10233,No '=' after R parameter
10234,Invalid R parameter index
10235,No number specified after 'O'
10236,Unknown O-Function
10237,F-Function ignored
10238,No '=' after G159 or G180 or name of tangential axis
10239,No number specified after 'G159='
10240,Table index of zero point offset too large
10241,Name too long at global subprogram call
10242,Number too long at local subprogram call
10245,Unknown S-Function
10246,Unknown synchronization type
10247,Radius of circle multiple programmed
10248,Zero for radius of circle not allowed
10249,G141 Programmed axis is not a tangential axis
10250,Incorrect use of the ELSE statement
10251,Incorrect use of the ELSEIF statement
10252,No parameters in FOR statement
10253,No number specified after 'R' or 'P'
10254,Invalid index for EX parameter
10255,Parameter cannot be setup
10256,No '=' after R or P parameter
10257,No comma in FOR statement
10258,Negative dwell time specified
10259,Unknown statement
10260,Incorrect statement
10261,No statement allowed after IF
10262,No statement allowed after ELSE
10263,No statement allowed after ENDIF
10264,No statement allowed after CASE
10265,No statement allowed after ENDSWITCH
10266,Invalid value after the command $CDC_F or $WRK_F
10267,Negative CDC-Radius ($RAD)
10268,"Restart, no more values in the parameter buffer available"
10269,"Restart, parameter buffer full"
10270,Overflow of the arithmetic stack
10271,No number specified after 'R'
10272,Invalid R parameter index
10273,No number specified after 'P'
10274,Invalid P parameter index
10275,[' expected
10276,Unknown Term (syntax error)
10277,]' expected
10278,Divide by zero
10279,Negative square root
10280,Logarithm <= 0
10281,Axis positions not latched
10282,Specified trigger not active on this axis
10283,Restart parameter buffer error - different Typ/Offset in the NC program
10284,"Restart info, to less values in the parameter buffer"
10285,"G16, wrong or missing axis definition"
10286,"G16, wrong parameter (sign)"
10287,G16 with active CDC not allowed
10288,"G9900, Syntax Error"
10290,Overflow of the subprogram stack
10291,Global subprogram not found
10292,Number for definition of local subprogram expected
10293,Overflow of the subprogram list
10294,Start of the NC program missing
10295,Overflow of the subprogram stack
10296,Local subprogram not found
10297,Not all control blocks are complete at the end of the NC program
10298,Overflow of the control block stack
10299,No preceding IF
10300,No preceding IF
10301,No preceding IF
10302,Overflow of the control block stack
10303,No preceding SWITCH
10304,No preceding SWITCH
10305,No preceding SWITCH
10306,Overflow of the control block stack
10307,No preceding FOR
10308,No preceding FOR
10309,No preceding FOR
10310,Overflow of the control block stack
10311,No preceding WHILE
10312,No preceding WHILE
10313,No preceding WHILE
10314,Overflow of the control block stack
10315,No preceding DO
10316,No preceding DO
10317,No preceding DO
10318,No control block for BREAK available
10319,No control block for CONTINUE available
10320,Name of NC program too long
10321,Not all control blocks are complete at the end of a subprogram
10322,C2 spline not complete at the end of the NC program
10330,Overflow of the NC program stack
10340,Axis entry with dwell time not allowed
10341,Unknown index with indexed coordinate
10342,Multiple programmed axis with indexed coordinate
10343,Multiple programmed axis
10344,No main plane selected
10345,No full circle possible with Radius Programming
10346,Radius of Circle too low
10347,No Circular Interpolation active
10348,Radius programming not allowed
10349,INT32-Overflow of position
10350,INT32-Overflow of zero point offset
10351,Difference between programmed radius and the interpolation parameters
10352,Trigger must be in a linear interpolation block
10353,G220 must be used within an interpolation block
10354,G220 can not be used together with G201
10355,G201 must not be used when the CDC is active
10356,G170 must not be used when the CDC is active
10357,First Interpolation Block (after G16/G53-G59/G92/G159/Dxx) must be G00 or G01
10358,G25 after Rotation/Shift (G16/G53-G59/G92/G159/Dxx) not allowed
10359,CDC after Rotation/Shift (G16/G53-G59/G92/G159/Dxx) not allowed
10360,G121/126/180 after Rotation/Shift (G16/G53-G59/G92/G159/Dxx) not allowed
10361,"G200, G201, G210 after Rotation/Shift (G16/G53-G59/G92/G159/Dxx) not allowed"
10362,Rotation/Shift (G16/G53-G59/G92/G159/Dxx) in different planes not allowed
10363,Multiple Rotation/Shift (G16/G53ff./G92/G159/Dxx) without a Transition Block
10364,Mirroring during Rotation/Shift (G16/G53-G59/Gx92/G159/Dxx) not allowed
10365,Rotation/shift (G16/G53-G59/G92/G159/Dxx) with one cartesian axis not possible
10366,With two cartesian axes only rotaion around z axis allowed
10367,Rotation/Shift (G16/G53ff./G92/G159/Dxx) plane must match the plane for G141
10368,G141 Active tangential axis must not be used as programmed axis
10369,Axis entry with $CDC_F or $WRK_F not allowed
10370,Internal Decoder-FIFO full
10371,Too many blocks without move in the main plain (max. 64 allowed)
10372,Length of straight line is zero or radius of tangential circle too small
10373,Only Line-Line-Transitions allowed if G25 or G26 is active
10374,Radius of tangential circle too large
10375,Straight lines are parallel
10376,Rotation of the coordinate system in the polar coordinate mode not allowed
10377,No Polar Coordinate Machine
10378,Polaraxis must not be programmed after G16/G53ff./G92/G159/Dxx
10379,Polaraxis must not be programmed (autom. Tangential Axis is active)
10380,Polaraxis must not be programmed (CDC is active)
10381,Polaraxis must not be programmed (Spline is active)
10382,Polaraxis must not be programmed (Trigger is active)
10383,Polaraxis must not be programmed (Mirroing is active)
10384,Polaraxis must not be programmed (G25 is active)
10385,Polaraxis must not be programmed (Rotation is active)
10386,Direct Programming of the Polar Axes not allowed after G93
10387,TRF_direct() function detected an error.
10388,TRF_inverse() function detected an error.
10389,TRF_init_instance() error or no TRF_LIB.
10390,Initial TRF_direct() function failed.
10391,Full transformation - path axis not in position.
10392,Full transformation - no library TRF_LIB or its functions.
10393,Full transformation - path and joint axes programmed in the same time.
10394,TRF_get_joints_pos() function detected an error.
10395,TRF_get_joints_pos() function detected an error.
10396,TRF_generic() function detected an error.
10397,OptMot - speed profile not closed before the end of the program.
10398,G172 must not be used when the CDC is active
10399,Non unique change of the orientation axes
10400,Change of main plane not allowed
10401,In main plane here only circular interpolation allowed
10402,No tangent possible for concentric circles
10403,No tangent possible for overlapping circles
10404,Tangent function 'G180=0' active at program end
10405,No tangent possible for linear-linear block sequence
10406,"No tangent possible, start- or endpoint inside of circle"
